duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
333950,2020,0.000105,0.593,0.921,0.26,0.36,-4.482,0.0268,127.995,0.7,0
177040,1930,0.968,0.391,0.137,1.26e-06,0.304,-16.185,0.0472,95.776,0.177,2
177373,2002,0.484,0.552,0.706,6.49e-05,0.074,-8.117,0.363,167.468,0.721,52
188245,1950,0.986,0.383,0.396,0.15,0.0697,-11.057,0.0518,68.838,0.763,0
203427,2010,0.0375,0.853,0.855,0.0,0.343,-5.716,0.118,94.976,0.683,52
88133,1952,0.987,0.301,0.104,0.000125,0.292,-24.494,0.0461,84.658,0.254,0
199733,1999,0.0754,0.679,0.528,0.0,0.12,-7.901,0.0267,99.035,0.274,46
237920,2013,0.219,0.365,0.943,0.0,0.39,-5.274,0.474,177.919,0.456,46
196440,1950,0.986,0.455,0.106,0.0,0.122,-14.086,0.0422,66.807,0.258,52
243640,1950,0.976,0.0943,0.0274,0.895,0.105,-30.956,0.0378,162.977,0.0517,10
315320,1980,0.0302,0.649,0.524,0.464,0.1,-11.376,0.161,172.045,0.586,30
96160,1959,0.693,0.674,0.235,0.0,0.37,-13.724,0.203,171.264,0.963,18
121533,1946,0.962,0.47,0.128,0.0,0.116,-21.328,0.169,83.052,0.239,0
163067,2012,0.0471,0.491,0.841,0.0,0.0886,-3.579,0.0421,199.851,0.721,63
211067,1999,0.00284,0.909,0.491,0.0,0.0279,-11.152,0.289,92.987,0.874,37
149813,2018,0.122,0.7,0.435,0.000549,0.114,-12.597,0.0428,141.914,0.21,59
201045,1930,0.984,0.344,0.154,0.881,0.186,-21.466,0.0485,127.913,0.376,0
421120,1997,0.289,0.637,0.302,0.0,0.114,-15.91,0.0296,98.999,0.203,40
189000,1928,0.991,0.805,0.248,0.0655,0.103,-7.736,0.16,115.165,0.778,0
212227,1993,0.493,0.516,0.457,0.0,0.221,-6.35,0.0348,147.375,0.66,35
291267,1989,0.148,0.79,0.656,0.00518,0.0743,-10.316,0.0277,97.141,0.712,40
204840,1989,0.83,0.644,0.265,0.0,0.107,-18.211,0.0867,87.363,0.336,39
177333,1957,0.721,0.626,0.185,0.0,0.294,-14.561,0.133,93.572,0.719,8
342280,2001,0.814,0.216,0.144,0.324,0.324,-18.573,0.0407,71.07,0.0832,50
551200,1964,0.935,0.357,0.289,0.631,0.118,-16.618,0.0418,100.696,0.307,15
234547,2014,0.0746,0.599,0.854,0.0,0.278,-5.429,0.0436,119.986,0.311,68
197834,1944,0.994,0.76,0.381,0.921,0.105,-13.749,0.0424,114.391,0.967,0
119357,1960,0.575,0.819,0.774,0.849,0.549,-7.666,0.0367,120.081,0.968,12
175507,1925,0.996,0.716,0.173,0.917,0.118,-16.527,0.0546,98.769,0.645,1
258427,1980,0.003,0.406,0.567,0.00247,0.17,-10.765,0.0403,143.461,0.607,36
171307,1927,0.989,0.758,0.378,0.0434,0.112,-11.099,0.0409,104.5,0.845,8
103773,1955,0.95,0.535,0.336,0.00011,0.0578,-14.215,0.0776,75.764,0.492,0
134080,2014,0.0365,0.362,0.871,0.000256,0.114,-6.546,0.0502,151.722,0.526,59
213693,2002,0.149,0.757,0.694,0.00275,0.234,-7.211,0.0443,92.01,0.812,37
292133,1968,0.525,0.469,0.312,0.00309,0.503,-16.064,0.0624,172.201,0.557,25
205172,1944,0.995,0.279,0.206,0.314,0.218,-10.159,0.0373,72.786,0.389,0
320133,1942,0.996,0.306,0.0489,0.527,0.145,-25.717,0.0487,80.185,0.343,0
172667,1997,0.417,0.781,0.482,2.14e-06,0.0379,-10.226,0.0421,104.159,0.959,41
323267,1945,0.989,0.473,0.257,0.922,0.0889,-16.009,0.0422,120.698,0.645,0
196160,1999,0.000862,0.315,0.929,0.0338,0.439,-5.583,0.0391,165.471,0.723,45
167640,1936,0.995,0.673,0.419,0.225,0.194,-7.409,0.076,119.537,0.764,0
272907,1947,0.992,0.253,0.136,0.903,0.106,-20.82,0.0352,84.756,0.0346,0
179467,1983,0.117,0.607,0.597,0.000138,0.177,-11.407,0.0347,139.82,0.703,36
219067,2020,0.26,0.655,0.587,6.07e-06,0.0953,-8.736,0.045,91.494,0.521,62
366486,1935,0.717,0.72,0.238,0.0,0.294,-16.335,0.948,123.504,0.395,0
198867,1966,0.14,0.299,0.787,0.0,0.292,-7.93,0.069,94.798,0.716,62
186667,1977,0.36,0.471,0.914,0.0,0.952,-6.483,0.0668,126.962,0.6,30
232667,2003,0.236,0.705,0.524,1.3e-05,0.0767,-14.051,0.026,129.847,0.798,62
173827,1962,0.526,0.728,0.151,1.58e-05,0.124,-15.014,0.04,99.789,0.493,27
298520,2017,0.0734,0.499,0.654,0.000144,0.104,-6.782,0.11,169.839,0.0464,64
159150,2018,0.00925,0.646,0.709,0.000308,0.115,-6.005,0.0381,80.504,0.281,70
269453,1983,0.232,0.818,0.719,0.00115,0.153,-7.006,0.0339,128.912,0.782,37
504867,1964,0.496,0.465,0.644,0.179,0.176,-7.646,0.106,81.896,0.355,39
1058227,1971,0.00871,0.436,0.873,0.708,0.828,-10.798,0.0417,115.323,0.817,21
187173,1948,0.938,0.138,0.173,0.967,0.291,-19.996,0.0421,88.746,0.039,0
138227,1978,0.537,0.799,0.385,0.000177,0.124,-12.18,0.0378,122.618,0.962,52
202600,1978,0.351,0.373,0.568,0.0,0.111,-4.368,0.0877,187.247,0.755,42
494627,1975,0.0504,0.445,0.789,0.00214,0.106,-8.108,0.0726,113.644,0.565,38
194373,1941,0.989,0.323,0.148,0.0061,0.0865,-13.736,0.0469,75.319,0.323,0
486093,1943,0.907,0.171,0.0389,0.851,0.0817,-24.767,0.0403,90.345,0.0316,0
161747,1962,0.85,0.546,0.21,1.5e-05,0.348,-14.006,0.0272,97.716,0.511,37
194733,1968,0.979,0.211,0.118,0.335,0.115,-19.011,0.0355,113.574,0.0687,34
114173,1986,0.91,0.272,0.0888,5.52e-06,0.377,-23.347,0.038,124.824,0.247,28
250160,1991,0.225,0.61,0.39,0.0,0.0888,-12.959,0.0576,88.989,0.536,51
239200,1955,0.961,0.351,0.0742,0.00157,0.277,-14.516,0.0301,84.464,0.226,20
116500,2018,0.973,0.273,0.0065,0.946,0.112,-27.214,0.0366,63.427,0.234,66
213200,2005,0.0208,0.836,0.661,0.0,0.449,-6.502,0.338,76.71,0.753,68
110333,1964,0.802,0.38,0.342,0.00119,0.118,-15.565,0.0465,82.237,0.92,19
165507,1998,0.0803,0.632,0.582,0.00351,0.0832,-13.461,0.044,101.641,0.578,59
205293,1973,0.238,0.609,0.348,0.00254,0.114,-13.46,0.0273,89.373,0.301,30
177360,1964,0.76,0.489,0.304,4.45e-05,0.545,-13.393,0.0289,112.081,0.498,21
318929,1970,0.413,0.52,0.49,0.0,0.121,-12.828,0.0286,117.755,0.76,56
208493,1983,0.0831,0.759,0.554,4.92e-06,0.0895,-15.167,0.0349,126.994,0.913,30
175600,1957,0.466,0.473,0.325,1.8e-06,0.125,-10.054,0.0568,171.787,0.671,11
220339,1957,0.918,0.284,0.317,0.0,0.0845,-9.974,0.0303,98.499,0.0979,10
238533,1999,0.423,0.256,0.446,3.07e-06,0.111,-7.137,0.0331,74.041,0.0929,52
152187,1959,0.774,0.693,0.532,0.0,0.317,-9.712,0.0368,120.83,0.791,45
292910,2016,0.0498,0.838,0.43,1.59e-05,0.0977,-5.868,0.281,126.981,0.126,57
237907,2003,0.837,0.674,0.413,1.91e-05,0.098,-7.816,0.0274,124.895,0.503,68
251520,2008,0.349,0.429,0.551,0.0,0.292,-6.33,0.0313,149.76,0.384,62
215227,2010,0.0571,0.565,0.867,0.0,0.177,-2.503,0.0318,125.867,0.325,54
163973,1951,0.795,0.773,0.218,0.0,0.0632,-14.004,0.0404,126.227,0.709,26
163053,1983,0.56,0.163,0.415,0.92,0.173,-13.264,0.0345,138.26,0.0893,42
168620,2015,0.304,0.79,0.663,0.0,0.0892,-8.074,0.156,130.97,0.919,52
550760,1958,0.731,0.509,0.606,0.00361,0.256,-7.621,0.0365,123.351,0.794,43
296533,1995,0.412,0.52,0.849,9.95e-06,0.385,-5.094,0.345,77.924,0.563,43
167267,1967,0.201,0.752,0.433,0.0,0.0424,-11.052,0.0338,98.714,0.671,35
152027,2014,0.674,0.424,0.274,0.00734,0.121,-9.795,0.0372,170.139,0.25,49
188800,1932,0.993,0.44,0.37,0.925,0.126,-12.218,0.0448,65.533,0.852,0
382435,1978,0.181,0.487,0.841,0.000469,0.116,-5.659,0.0912,125.018,0.406,36
172040,1947,0.547,0.73,0.477,0.000175,0.357,-12.225,0.033,89.872,0.493,2
185133,1948,0.992,0.438,0.187,8.22e-06,0.375,-13.299,0.0349,131.631,0.402,1
249067,2010,0.191,0.646,0.758,0.097,0.103,-4.34,0.0314,91.998,0.424,58
92533,1968,0.00392,0.564,0.662,0.817,0.66,-17.628,0.0722,109.37,0.829,21
240027,1958,0.807,0.569,0.262,0.00033,0.714,-16.681,0.0828,140.606,0.564,16
298373,1996,0.531,0.664,0.644,0.661,0.251,-9.334,0.0352,79.526,0.646,53
206545,1931,0.878,0.516,0.481,0.00672,0.159,-16.707,0.0525,124.994,0.839,0
259040,2012,0.678,0.712,0.44,0.0,0.0924,-11.566,0.0413,123.958,0.312,59
319360,2002,0.836,0.262,0.176,0.0343,0.122,-10.463,0.0301,73.076,0.105,56
159933,1958,0.686,0.688,0.615,0.0,0.34,-4.965,0.0637,133.985,0.861,20
71400,1947,0.996,0.547,0.158,0.803,0.0783,-33.52,0.0549,71.568,0.585,0
171733,1951,0.657,0.639,0.407,0.0,0.381,-12.403,0.167,115.289,0.495,1
183002,2014,0.00226,0.617,0.948,0.00221,0.0755,-4.236,0.0621,139.996,0.863,56
233440,1948,0.761,0.0637,0.0295,0.914,0.666,-30.257,0.0395,66.323,0.0673,0
337573,2010,0.134,0.618,0.413,0.000338,0.0913,-9.311,0.398,87.412,0.462,50
201573,1935,0.995,0.269,0.24,0.266,0.103,-13.359,0.0399,84.643,0.36,0
234192,2017,0.206,0.55,0.58,1.02e-06,0.119,-7.687,0.0784,82.27,0.484,65
242640,1991,0.422,0.679,0.568,0.00928,0.322,-10.74,0.0423,159.69,0.93,69
212500,2018,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,0.617,81
223465,1973,0.174,0.556,0.855,0.00381,0.261,-6.901,0.0403,117.248,0.721,51
341880,2010,0.965,0.4,0.245,0.944,0.158,-14.345,0.0338,164.165,0.268,59
68067,1953,0.987,0.422,0.0573,0.0,0.172,-20.219,0.0525,63.222,0.352,0
455560,2004,0.0174,0.31,0.945,0.00751,0.211,-6.714,0.168,108.399,0.25,54
189653,1973,0.691,0.52,0.307,1.39e-05,0.114,-13.221,0.0405,172.673,0.677,29
266751,1987,0.0893,0.271,0.978,0.588,0.96,-4.654,0.178,178.936,0.474,44
292427,1956,0.94,0.561,0.0704,0.438,0.106,-17.745,0.0428,68.503,0.513,11
303387,1981,0.594,0.38,0.195,0.0012,0.0886,-12.935,0.0408,67.68,0.103,27
214467,2004,0.0029,0.577,0.757,7.64e-06,0.104,-3.718,0.0354,129.906,0.589,36
235000,1956,0.836,0.656,0.191,0.000438,0.128,-18.477,0.035,76.494,0.599,7
219683,2016,0.716,0.505,0.397,0.0,0.0853,-9.349,0.324,95.063,0.558,70
130560,1969,0.731,0.365,0.179,0.457,0.118,-22.325,0.0323,107.928,0.305,41
229467,1980,0.445,0.302,0.961,0.00268,0.823,-5.619,0.116,152.366,0.659,49
325453,1951,0.994,0.272,0.218,0.909,0.0913,-17.146,0.039,69.101,0.054,7
112467,1956,0.994,0.315,0.0814,0.92,0.119,-25.212,0.0385,104.98,0.366,43
331307,1984,0.479,0.299,0.898,0.173,0.202,-7.771,0.075,143.522,0.0621,38
243267,1994,0.00432,0.911,0.614,8.75e-06,0.0985,-11.176,0.338,99.025,0.601,52
233000,1971,0.401,0.474,0.719,1.14e-06,0.42,-9.652,0.0614,101.099,0.798,35
146477,2018,0.0087,0.736,0.495,0.299,0.208,-8.642,0.0443,120.993,0.678,61
254587,1983,0.0466,0.545,0.639,0.000115,0.522,-8.742,0.0308,118.407,0.427,37
190296,1944,0.988,0.505,0.22,0.929,0.133,-15.472,0.0373,62.249,0.444,4
